,Name,Academic (1),Affiliations
116,kosuke aoki,1,faculty of economics university of tokyo
117,kalbe abbas,0,pakistan institute of development economics
118,iñaki aldasoro,0,bank for international settlements (bis)
119,masahiko aoki,0, 
120,omair abbas,1,department of business administration faculty of management sciences greenwich university
121,anamaria aldea,0,the academy of economic studies in bucharest
122,masanao aoki,1,department of economics university of california-los angeles (ucla)
123,qaisar abbas,0,department of management science comsats institute of information technology
124,lina aldén,0,ekonomihögskolan linnéuniversitet
125,reiko aoki,1,(60%) institute of economic research hitotsubashi university
126,qaisar abbas,1,faculty of management sciences international islamic university
127,simeon d. alder,1,department of economics university of notre dame
128,shuhei aoki,1,graduate school of economics hitotsubashi university
129,rana zamin abbas,1,university of management and technology (university of management and technology)
130,simon alder,1,(99%) department of economics university of north carolina-chapel-hill
131,takaaki aoki,1,institute of economic research kyoto university
132,"shujaat abbas, ph.d.",0,institute of business management
133,maría verónica alderete,0,institute of economic and social investigations of the south (iiess) national council of scientific and technical investigations (conicet)
134,yu aoki,1,(90%) department of economics university of aberdeen
135,s. m. ali abbas,0,international monetary fund (imf)
136,harold alderman,0,international food policy research institute (ifpri)
137,amal aouadi,0,clermontois center of research in management and management (crcgm)
138,syed kanwar abbas,0, 
139,peter alders,0, 
140,zaier aouani,1,department of economics nazarbayev university
141,alireza abbasi,0, 
142,luigi aldieri,0,(75%) international center for innovation
143,marie aouriri,0,bank of france
144,osman furkan abbasoğlu,0,türkiye cumhuriyet merkez bankası
145,eric mark aldrich,1,economics department university of california-santa cruz (ucsc)
146,masaki aoyagi,1,institute of social and economic research (iser) osaka university
147,jeyhun abbasov,0, 
148,thomas taylor aldridge,1,school of public and environmental affairs indiana university
149,roberta apa,1,"department of economics ""marco do"" university of padova studies"
150,abdessalem abbassi,0,(50%) center for research in environmental economics
151,dante mendes aldrighi,0,department of economics
152,ainhoa aparicio,1,college carlo alberto (carlo alberto college) university of turin (university of turin)
153,puriya abbassi,0,german bundesbank
154,ammar aldubaikhi,0, 
155,francisco javier aparicio,0,center for economic research and teaching (cide)
156,angela abbate,0,schweizerische nationalbank (snb)
157,joseph e. aldy,1,(80%) kennedy school of government harvard university
158,juan aparicio,1,center of operational research (cio) university miguel hernández
159,jan-frederik jozef abbeloos,1,ghent university
160,björn alecke,0,company for financial and regional analyzes (gefra)
161,sebastian aparicio,1,(80%) department of business faculty of economics and business autonomous university of barcelona
162,klaus abberger,0,kof swiss economic institute department of management
163,ciprian ionel alecu,0,the institute of economic and social research gheorghe zane (ices) the romanian academy
164,carlos a. aparicio madico,1,academic department of economy university of the pacific
165,emmanuel nii abbey,1,economics department university of ghana
166,felician alecu,0,the academy of economic studies in bucharest
167,mikael apel,0,swedish national bank
168,klaus abbink,1,department of economics monash business school monash university
169,nader ale ebrahim,0,(50%) universiti malaya (department of engineering design and manufacture
170,ignacio apella,0,(90%) social protection and labor unit world bank group
171,brant abbott,1,economics department queen's university
172,abdul aleem,1,department of economics university of alberta
173,εμμανουήλ απέργης,1,kent business school university of kent
174,michael abbott,1,economics department queen's university
175,joaquin alegre,1,faculty of economics university of valència
176,nicholas apergis,1,department of banking and financial management university of piraeus
177,jaap h. abbring,0,(74%) center for economic research universiteit van tilburg
178,maría a. alegre,1,university of cema
179,jose apesteguia,1,department of economics and business university pompeu fabra barcelona graduate school of economics (barcelona gse)
180,mirko abbritti,1,faculty of economic and business sciences university of navarra
181,guillermo aleixandre,1,department of applied economics faculty of economic and business sciences university of valladolid
182,elena apevalova,0,russian presidential academy of national economy and public administration (ranepa)
183,ali abcha,1,economix university paris west-nanterre defense (paris x)
184,alejandro alonso suárez,0,national commission of energy government of spain
185,owain ap gwilym,1,bangor business school bangor university
186,manuel angel abdala,0,(34%) american economic association
187,javier alejo,0,center of distributive studies
188,rhys ap gwilym,1,bangor business school bangor university
189,yamile abdala rioja,0, 
190,luis alejandro alejos marroquin,1,(50%) economics department university of michigan
191,jeffrey apland,1,department of applied economics college of agricultural
192,abed al-nasser abdallah,1,school of business management american university of sharjah
193,mercik roman aleksander,0,uniwersytet ekonomiczny we wrocławiu
194,alexander y. apokin,0,(50%) institute of economic forecasting russian academy of sciences (ras)
195,dr. hisham handal abdelbaki,1,(50%) faculty of commerce mansoura university
196,ekaterina aleksandrovna aleksandrova,1,saint petersburg branch national research university higher school of economics
197,thomas apolte,0,economic science faculty westphalia wilhelms-university münster
198,lara abdel fattah,1,economix university paris west-nanterre defense (paris x)
199,lilia aleksanyan,0,(90%) france treasury general secretariat ministry of the economy
200,marius constantin apostoaie,1,"faculty of economics and business administration university ""al.i cuza"""
201,yasmine m. abdelfattah,0,(50%) faculty of business administration
202,alexey veniaminovich alekseev,0,(90%) institute of economics and industrial engineering siberian branch russian academy of sciences (ras)
203,diana apostol,0,the faculty of finance
204,hamid abdel hakh,0,general inspectorate of finance ministry of economy and finance government of tchad
205,аркадий васильевич алексеев,0,institute of economics russian academy of sciences (ras)
206,alexandros apostolakis,1,economics and finance group portsmouth business school university of portsmouth
207,abdelhamid el bouhadi,0,"department of economics, faculty of law"
208,mariya aleksynska,0,(95%) international labor organization (ilo) united nations
209,george apostolakis,0,nyenrode business universiteit
210,hossam eldin mohammed abdelkader,1,faculty of commerce ain shams university
211,ana claudia alem,0,national bank of economic and social development government of brazil
212,alexander apostolides,0,department of accounting
213,touria abdelkader b. conde,0, 
214,yonas alem,1,"department of economics and business, university of gothenburg, gothenburg university"
215,nikolaos apostolopoulos,1,department of economics university of peloponnese
216,yahyaoui abdelkarim,1,faculty of economics and management university of sfax for the south
217,luisa alemany,1,esade business school university ramon llull
218,apostolos apostolou,0,international monetary fund (imf)
219,touhami abdelkhalek,0,(50%) national institute of statistics and applied economics (insea)
220,tuna alemdar,1,agriculture economy department chukurova university
221,alexander apostolov,0,economic research institute bulgarian academy of sciences
222,ahmed hamed abd ellah,0, 
223,douglas alcantara alencar,1,center for regional development and planning (cedeplar) federal university of minas gerais
224,mico apostolov,1,(47%) senior management school sant'anna
225,kamel abdellah,1,university of tunis
226,leonardo soriano de alencar,0,central bank of brasil
227,maria roumenova apostolova-mihaylova,1,department of economics university of mary washington
228,mohammed abdellaoui,0,hec paris (school of higher commercial studies)
229,mohammad alenezi,0,division of techno-economics kuwait institute for scientific research
230,bénédicte h. apouey,1,paris school of economics
231,hany abdel-latif,1,(50%) economics department school of management swansea university
232,amadeo alentorn,1,centre for computational finance and economic agents (ccfea) university of essex
233,naaguesh appadu,1,faculty of finance cass business school city university
234,hesham m abdel-rahman,1,college of business and administration university of new orleans
235,laurence ales,1,department of economics tepper school of business administration carnegie mellon university
236,franziska appel,0,leibniz-institut für agrarentwicklung in transformationsökonomien (iamo)
237,mamdouh abdelmoula mohamed abdelsalam,0,قسم الاقتصاد - كلية التجارة - جامعة المنوفية (department of economics - faculty of commerce - menoufia university)
238,anna aleshina,1,faculty of economics m. v. lomonosov moscow state university
239,elie appelbaum,1,department of economics york university
240,faouzi abdennour,1,faculty of economics and management university of carthage
241,alberto alesina,1,"department of economics 
harvard university"
242,david cole appels,0,productivity commission government of australia
243,farshid abdi,1,swiss institute for banks and finances (sbf) school of finance universität st. bile
244,fuad aleskerov,1,international laboratory of decision choice and analysis national research university higher school of economics
245,gildas appéré,0,angevin research group in economics and management (granem) faculty of law
246,edimansyah abdin,0,institute of mental health
247,piergiorgio alessandri,0,bank of italy
248,francesco paolo appio,1,sant'anna school of management
249,md. joynal abdin,0,we are foundation
250,george alessandria,1,economics department university of rochester
251,john appleby,0,king's fund
252,m. shabri abd. majid,0,fakultas economic universitas syiah kuala
253,diana alessandrini,1,(99%) department of economics auburn university
254,simon mark appleton,1,school of economics university of nottingham
255,kanat abdolla,0,agency of statistics government of kazakhstan
256,"pietro alessandrini, sr.",1,"(50%) department of economics and social sciences faculty of economics ""giorgio fuà"" polytechnic university of brands"
257,andrea appolloni,1,"(80%) department of management and law faculty of economics university of roma studies ""vergata"""
258,doaa salman abdou,1,faculty of management sciences modern sciences and arts university
259,sergio alessandrini,1,(50%) university of modena and reggio emilia (university of modena and reggio emilia)
260,patricia frances apps,1,(34%) university of sydney
261,joseph moussa abdou,1,(90%) paris school of economics
262,lucia alessi,0,joint research center european commission
263,rodolfo apreda,1,center for the study of the governance of the public sector and the private sector (cegopp) university of cema
264,muhamad abduh,1,institute of islamic banking and finance international islamic university malaysia (iium)
265,matteo alessi,0, 
266,tommaso aquilante,0,bank of england
267,malek mohammad abdul,0,research and evaluation division brac
268,rob alessie,1,(80%) department of econometrics faculty of economics and business administration university of groningen
269,juan carlos aquino chávez,0,central reserve bank of peru
270,awudu abdulai,0, 
271,jonathan e. alevy,1,department of economics college of business and public policy university of alaska
272,ilker murat ar,1,faculty of economics and administrative sciences technical university of black sea
273,nor izzatina abdul aziz,1,university nationality malaysia
274,dony alex,1,centre for applied macroeconomic analysis (cama) crawford school of public policy australian national university
275,araar abdelkrim,1,(34%) economic policy partnership (pep) laval university
276,hanas m. abdul cader,0, 
277,christos a. alexakis,1,rennes high school of commerce
278,reza (gholamreza) arabsheibani,0, 
279,baharom abdul hamid,0,international center for education in islamic finance (inceif)
280,anne alexander,1,college of business university of wyoming
281,ekaterina dimitrova arabska,0,akademia za inovacii i ustoichivost (innovations and sustainability academy)
282,abdullahi olabode abdulkadri,1,department of economics university of the west indies
283,barbara joyce alexander,0,(50%) arguendo financial and economic consulting
284,hamzeh arabzadeh jamali,1,(47%) institute of economic and social research (ire) school of economic sciences of louvain catholic university of louvain
285,bakri abdul karim,1,university malaysia sarawak
286,carol alexander,1,department of business and management school of business
287,ayşen araç,1,economics department faculty of economics and administrative sciences hacettepe university
288,zulkefly abdul karim,1,economic fakulti and the management of the nationality university of malaysia
289,corinne alexander,0, 
290,giampaolo arachi,1,department of science economics faculty of economics university of salento
291,bekzod abdullaev,1,department of economics and finance la trobe business school la trobe university
292,diane alexander,0,economic research department federal reserve bank of chicago
293,m. jose aracil,1,faculty of economic and business sciences university of seville
294,iskandar abdullaev,0, 
295,g caleb alexander,1,university of chicago
296,satheesh aradhyula,1,department of agricultural and resource economics university of arizona
297,azrul bin abdullah,1,university of technology mara (perlis)
298,gigi monique alexander,1,davis college of business jacksonville university
299,andres aradillas-lopez,1,economics department university of wisconsin-madison
300,sabah s. abdullah,0, 
301,gordon j. alexander,1,carlson school of management university of minnesota
302,fernando martín aragón sánchez,1,department of economics simon fraser university
303,shafiu ibrahim abdullahi,0, 
304,ian alexander,1,centre for competition and regulatory policy (ccrp) department of economics city university
305,gisella aragón,1,academic department of economy university of the pacific
306,selamah abdullah yusof,1,kulliyyah of economics and management sciences international islamic university malaysia (iium)
307,kim suzanne alexander,0,charles sturt university-center of research excellence:
308,enriqueta aragones,0,(barcelona gse) barcelona economics (barcelona gse) (50%) institute of economics económica csic (iae-csic)
309,besim verdi abdullai,1,the faculty of economics the state university of teava
310,patrick d. alexander,0,bank of canada
311,hirofumi arai,0,economic research institute for northeast asia (erina)
312,prof. dr. emad m. a. abdullatif,1,college of administration and economics university of baghdad
313,constantine alexandrakis,1,department of geography and economics hofstra university
314,koki arai,1,faculty of administration and management shumei university
315,ilhom abdulloev,0,department of economics rutgers university-new brunswick
316,fernando alexandre,1,(50%) core economic policy research (nipe) university of minho
317,mahmood arai,0,national economical institute stockholms universitet
318,mariani abdul-majid,1,economic fakulti and the management of the nationality university of malaysia
319,alexandre,1,research center on management (cereg) dauphine research in management (drm) university paris-dauphine (paris ix)
320,natsuki arai,1,department of international business national chengchi university
321,muhamed zulkhibri abdul majid,0,(50%) malaysian state bank
322,cecilia alexandri,0,institute of agricultural economics national institute of economic research (ince) romanian academy
323,real arai,1,school of management kochi university of technology
324,turkhan ali abdul manap,0,islamic banking and finance division islamic research and training institute (irti) islamic development bank
325,alexei alexandrov,0,consumer financial protection bureau government of the united states
326,yoichi arai,0,national graduate institute for policy studies (grips)
327,a.s. abdul-rahim,1,fakulti economy and management university son malaysia (upm)
328,mikhail alexandrov,0,russian presidential academy of national economy and public administration (ranepa)
329,adnan nazir arain,0, 
330,abdul rahim abdul rahman,1,kulliyyah of economics and management sciences international islamic university malaysia (iium)
331,oleg vladimirovich alexandrov,0,center for economic and financial consulting (center)
332,amjad ali arain,1,research institute on education: sociology and economics of education (iredu) university of burgundy
333,khalid abdul wahid,0,faculty of information management
334,matilda alexandrova,1,university of national and world economy
335,salim m. araji,0,economic and social commission for western asia (escwa) united nations
336,mufutau ayinla abdul-yakeen,1,kwara state university
337,"caruntu genu alexandru, sr.",1,"faculty of economic sciences and business administration university ""constantin brancusi"""
338,veni arakelian,1,department of economics faculty of economics and management university of cyprus
339,rustam abduraupov,1,iqtisodiyot faculty toshkent xalqaro westminster university
340,ciprian antoniade alexandru,1,"the faculty of economics, the ecological university in bucharest"
341,miguel aramendia,1,(50%) department of applied economics iv (mathematics) faculty of economic and business sciences university of the basque country - euskal herriko unibertsitatea
342,akmal a. abdurazakov,0,institute for forecasting and macroeconomic research
343,felicia alexandru,0,the department finances the faculty of finance
344,maria elena aramendia-muneta,1,department of management of public university of navarra
345,abdurohman,0,fiscal policy agency of the ministry of government of indonesia
346,alexander gennadievich alexeev,1,(50%) department of economics european university at st. petersburg
347,meltem a. aran,0,(80%) development analytics
348,syed abdur raheem,0,institute of business and technology (biztek)
349,michael alexeev,1,department of economics indiana university
350,jorge e. arana,0,department of economic analysis applied faculty of economy
351,kenzo abe,1,graduate school of economics osaka university
352,vitali alexeev,1,(80%) finance discipline group business school university of technology sydney
353,sofia arana,0, 
354,masahiro abe,1,faculty of economics chuo university
355,stilianos alexiadis,0, 
356,rodrigo f. aranda,0, 
357,naohito abe,1,institute of economic research hitotsubashi university
358,constantinos alexiou,0, 
359,saioa arando lasagabaster,0,"mondragon innovation & knowledge (mik s.coop) 
mondragon unibertsitatea (mondragon university)"
360,taro abe,1,faculty of economics nagoya gakuin university
361,annika alexius,0,national economical institute stockholms universitet
362,carlos a. arango,0,bank of the republic of colombia
363,yukiko abe,1,graduate school of economics and business administration hokkaido university
364,michelle alexopoulos,1,department of economics university of toronto
365,mauricio arango,1,department of economics university of illinois at urbana-champaign
366,degnet abebaw,0,ethiopian economic policy research institute (eepri)
367,martina alexova,0,národná plain slovenska
368,luis eduardo arango thomas,0,bank of the republic of colombia
369,abebe shimeles,0,african development bank
370,gilles alfandari,0,world bank group
371,javier aranzadi,1,department of economic analysis: economic theory and economic history faculty of economic and business sciences autonomous university of madrid
372,girum abebe tefera,0,ethiopian development research institute (edri)
373,federica alfani,0,food and agriculture organization (fao) united nations
374,maría florencia aráoz,1,"faculty of economics and administration university of the north ""santo tomás de aquino"""
375,ama baafra abeberese,1,department of economics wellesley college
376,guido alfani,1,"(50%) ""carlo f. dondena"" center for research on social dynamics (dondena) commercial university luigi bocconi"
377,yavuz arasil,0,iktisat bölümü bilkent üniversitesi
378,javad abedini,1,graduate school of management and economics sharif university of technology
379,maria rosaria alfano,1,faculty of economics second university of naples studies
380,hiroki arato,1,faculty of business tokyo metropolitan university
381,sufian abedl-gadir,1,department of economics aristotle university of thessaloniki
382,simone alfarano,1,(50%) department of university economics jaume i
383,aloisio pessoa de araujo,1,fgv / epge brazilian school of economics and finance foundation getulio vargas (fgv)
384,abedullah,0,international livestock research institute (ilri) consultative group on international agricultural research (cgiar)
385,ana karina alfaro,0, 
386,claudio araujo,1,center of studies and research on international development (cerdi) school of economics university of auvergne (clermont-ferrand 1)
387,getachew ahmed abegaz,0, 
388,josé antonio alfaro,1,faculty of economic and business sciences university of navarra
389,edson correia araujo,0,international bank for reconstruction & development (ibrd) world bank group
390,melaku t. abegaz,1,department of economics college of business and economics addis ababa university
391,laura alfaro,1,harvard business school harvard university
392,eliane cristina araujo,1,department of economics state university of maringá
393,andrew abel,1,finance department wharton school of business university of pennsylvania
394,rodrigo alfaro,0,central bank of chile
395,eurilton araújo,0,(50%) central bank of brasil
396,gary abel,0,primary care unit
397,валерий николаевич алферов,1,financial university under the government of the russian federation
398,gustavo silva araujo,0,central bank of brasil
399,istvan abel,0,(95%) gazdálkodástudományi kar budapesti corvinus egyetem
400,christoph alfken,0,institute for economic and cultural geography leibniz universität hannover
401,luis araujo,1,(95%) economics school of são paulo (eesp) foundation getulio vargas (fgv)
402,jaison robert abel,0,research and statistics group federal reserve bank of new york
403,frode alfnes,1,school of economics and business norway's environmental and life sciences university
404,luiz alberto d´ávila de araújo,1,(50%) improvement center of northeast economists (caen) federal university of ceará
405,johannes abeler,1,(90%) department of economics oxford university
406,knut halvor alfsen,0,cicero center for climate research (cicero center for international climate and environmental research - oslo)
407,m. caridad araujo,0,inter-american development bank
408,jennifer abel-koch,1,economics teaching-lectures goodberg school of management and economics johannes gutenberg-universität mainz
409,yann algan,0,department of economics sciences économiques sciences po
410,nuno araújo,1,innovation and technology studies (iet) interdisciplinary center of social sciences (cics.nova) college of social and human sciences new university of lisboa
411,jose-maria abellan-perpiñan,1,faculty of economics and business university of murcia
412,ingela alger,1,toulouse school of economics (tse)
413,ricardo azevedo araujo,0,department of economics
414,tilak abeysinghe,1,department of economics national university of singapore (nus)
415,moawia alghalith,1,department of economics university of the west indies
416,sonia araujo,0,organization for economic co-operation and development (oecd)
417,pongrapeeporn abhakorn,0,ministry of finance government of thailand
418,aliya algozhina,0,center for economic research and graduate education and economics institute (cerge-ei)
419,tanya vianna de araújo,1,(50%) department of economics higher institute of economics and management (iseg) university of lisboa
420,abdul abiad,0,(50%) international monetary fund (imf)
421,maite alguacil,1,(50%) department of university economics jaume i
422,catherine araujo bonjean,1,center of studies and research on international development (cerdi) school of economics university of auvergne (clermont-ferrand 1)
423,mary-fidelis chidoziem abiahu,1,nnamdi azikiwe university (department of accounting)
424,syed othman hussin alhabshi,0,international center for education in islamic finance (inceif)
425,sergio rené araujo enciso,0,joint research center european commission
426,mehdi abid,0, 
427,aliyu alhaji jibrilla,1,fakulti economy and management university son malaysia (upm)
428,josep-maria arauzo-carod,0,(34%) department of economics faculty of economics and business universities rovira i virgili tarragona
429,babatunde o. abidoye,0,department of agricultural economics
430,rahim alhamzawi,0, 
431,elias aravantinos,0,stevens institute of technology
432,kim abildgren,0,danmarks nationalbank
433,abdullah al-hassan,0,international monetary fund (imf)
434,sreejith aravindakshan,1,wageningen universiteit en researchcentrum (wageningen university and research center)
435,jens abildtrup,0,forestry laboratory
436,ahmed alhayky,1,shanghai university of finance and economics
437,ryo arawatari,1,graduate school of economics nagoya university
438,gemma abio,1,center for economic analysis and social policies (caeps) faculty of economics and business university of barcelona
439,sadegh alhosseini,0,center investigation economy and management contemporary
440,damilola felix arawomo,1,(88%) department of economics university of ibadan
441,vasif abioglu,1,faculty of economics and administrative sciences aksaray university
442,tareq muhammad alhousary,1,college of commerce and business administration dhofar university
443,henry aray,1,department of theory and economic history faculty of economic and business sciences university of granada
444,aled ab iorwerth,0,finance canada government of canada
445,abd elrahman elzahi saaid ali,0,islamic research and training institute (irti) islamic development bank
446,ivan araya,1,department of economics faculty of economic and administrative sciences university of conception
447,pablo abitbol,1,technological university of bolivar (pablo abitbol)
448,abdilahi ali,1,(80%) school of management and business aberystwyth university
449,mahmoud arayssi,1,school of business lebanese american university
450,jose miguel abito,1,department of business economics and public policy wharton school of business university of pennsylvania
451,ali acaravcı,1,faculty of economics and administrative sciences mustafa kemal university
452,annageldy arazmuradov,1,department of management engineering university of bergamo studies
453,azar abizada,1,school of business azerbaijan diplomatic academy (island) university
454,amanat ali,1,department of economics quaid-i-azam university
455,bahar araz takay,0, 
456,sohrab abizadeh,1,department of economics university of winnipeg
457,amjad ali,0,state bank of pakistan
458,jorge arbache,0,economics faculty
459,شهروز ابوالحسینی,0, 
460,dr. amjad ali,1,department of economics university of the punjab
461,emrah arbak,0,national bank of belgium / banque national de belqique (bnb)
462,mohamed r. abonazel,1,institute of statistical studies and research (issr) cairo university
463,daniel ayalew ali,0,economics research world bank group
464,cemal eren arbatli,1,(50%) faculty of economics national research university higher school of economics
465,george abonyi,1,department of public administration and international affairs maxwell school syracuse university
466,heba abdel monem ali,0, 
467,elif ceren arbatli,0,international monetary fund (imf)
468,ron aboodi,1,university of toronto department of philosophy
469,hoda abd el hamid ali,1,faculty of commerce and business administration helwan university
470,maria arbatskaya,1,department of economics emory university
471,joshua abor,1,business school university of ghana
472,imran ali,1,department of business administration faculty of economics and management king abdul aziz university
473,maria angelica arbelaez,0,foundation for higher education and development (federation)
474,kodjo abotsi,1,"school of economics 
fudan university"
475,jabir ali,0,instotute of co-operative and corporate management
476,marcelo aarestrup arbex,1,department of economics university of windsor
477,pokou edouard abou,1,training and research unit of economics and management university félix houphouët-boigny
478,mazhar ali,0,shaheed zulfikar ali bhutto institute of science and technology (szabist)
479,giuseppe maria arbia,1,"faculty of university economics of the studios of chieti and pescara (""g of announcement"")"
480,rahi abouk,1,department of economics ohio university
